ID Sector,Sector,ID University,University,ID Year,Year,Completions,Slug University,Geography,ID Geography,Slug Geography
2,"Private not-for-profit, 4-year or above","162210","Washington Adventist University",2022,"2022",225,"washington-adventist-university","Montgomery County, MD","05000US24031","montgomery-county-md"
2,"Private not-for-profit, 4-year or above","434937","Yeshiva College of the Nations Capital",2022,"2022",6,"yeshiva-college-of-the-nations-capital","Montgomery County, MD","05000US24031","montgomery-county-md"
3,"Private for-profit, 4-year or above","493895","SANS Technology Institute (493895)",2022,"2022",304,"sans-technology-institute","Montgomery County, MD","05000US24031","montgomery-county-md"
4,"Public, 2-year","163426","Montgomery College",2022,"2022",2980,"montgomery-college","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","163408","Montgomery Beauty School",2022,"2022",42,"montgomery-beauty-school","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","447971","Hair Expressions Academy",2022,"2022",94,"hair-expressions-academy","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","455026","Omega Studios' School of Applied Recording Arts & Sciences",2022,"2022",17,"omega-studios-school-of-applied-recording-arts-sciences","Montgomery County, MD","05000US24031","montgomery-county-md"
2,"Private not-for-profit, 4-year or above","162210","Washington Adventist University",2021,"2021",274,"washington-adventist-university","Montgomery County, MD","05000US24031","montgomery-county-md"
2,"Private not-for-profit, 4-year or above","434937","Yeshiva College of the Nations Capital",2021,"2021",8,"yeshiva-college-of-the-nations-capital","Montgomery County, MD","05000US24031","montgomery-county-md"
3,"Private for-profit, 4-year or above","493895","SANS Technology Institute (493895)",2021,"2021",299,"sans-technology-institute","Montgomery County, MD","05000US24031","montgomery-county-md"
4,"Public, 2-year","163426","Montgomery College",2021,"2021",3110,"montgomery-college","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","163408","Montgomery Beauty School",2021,"2021",43,"montgomery-beauty-school","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","447971","Hair Expressions Academy",2021,"2021",74,"hair-expressions-academy","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","455026","Omega Studios' School of Applied Recording Arts & Sciences",2021,"2021",52,"omega-studios-school-of-applied-recording-arts-sciences","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","480693","Columbia Institute",2021,"2021",99,"columbia-institute","Montgomery County, MD","05000US24031","montgomery-county-md"
2,"Private not-for-profit, 4-year or above","162210","Washington Adventist University",2020,"2020",259,"washington-adventist-university","Montgomery County, MD","05000US24031","montgomery-county-md"
2,"Private not-for-profit, 4-year or above","434937","Yeshiva College of the Nations Capital",2020,"2020",8,"yeshiva-college-of-the-nations-capital","Montgomery County, MD","05000US24031","montgomery-county-md"
3,"Private for-profit, 4-year or above","493895","SANS Technology Institute (493895)",2020,"2020",111,"sans-technology-institute","Montgomery County, MD","05000US24031","montgomery-county-md"
4,"Public, 2-year","163426","Montgomery College",2020,"2020",3022,"montgomery-college","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","163408","Montgomery Beauty School",2020,"2020",60,"montgomery-beauty-school","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","447971","Hair Expressions Academy",2020,"2020",74,"hair-expressions-academy","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","455026","Omega Studios' School of Applied Recording Arts & Sciences",2020,"2020",53,"omega-studios-school-of-applied-recording-arts-sciences","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","480693","Columbia Institute",2020,"2020",85,"columbia-institute","Montgomery County, MD","05000US24031","montgomery-county-md"
2,"Private not-for-profit, 4-year or above","162210","Washington Adventist University",2019,"2019",264,"washington-adventist-university","Montgomery County, MD","05000US24031","montgomery-county-md"
2,"Private not-for-profit, 4-year or above","434937","Yeshiva College of the Nations Capital",2019,"2019",5,"yeshiva-college-of-the-nations-capital","Montgomery County, MD","05000US24031","montgomery-county-md"
3,"Private for-profit, 4-year or above","493895","SANS Technology Institute (493895)",2019,"2019",105,"sans-technology-institute","Montgomery County, MD","05000US24031","montgomery-county-md"
4,"Public, 2-year","163426","Montgomery College",2019,"2019",3066,"montgomery-college","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","163408","Montgomery Beauty School",2019,"2019",46,"montgomery-beauty-school","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","447971","Hair Expressions Academy",2019,"2019",74,"hair-expressions-academy","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","455026","Omega Studios' School of Applied Recording Arts & Sciences",2019,"2019",61,"omega-studios-school-of-applied-recording-arts-sciences","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","480693","Columbia Institute",2019,"2019",110,"columbia-institute","Montgomery County, MD","05000US24031","montgomery-county-md"
2,"Private not-for-profit, 4-year or above","162210","Washington Adventist University",2018,"2018",224,"washington-adventist-university","Montgomery County, MD","05000US24031","montgomery-county-md"
2,"Private not-for-profit, 4-year or above","434937","Yeshiva College of the Nations Capital",2018,"2018",8,"yeshiva-college-of-the-nations-capital","Montgomery County, MD","05000US24031","montgomery-county-md"
4,"Public, 2-year","163426","Montgomery College",2018,"2018",2880,"montgomery-college","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","163408","Montgomery Beauty School",2018,"2018",65,"montgomery-beauty-school","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","447971","Hair Expressions Academy",2018,"2018",48,"hair-expressions-academy","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","455026","Omega Studios' School of Applied Recording Arts & Sciences",2018,"2018",63,"omega-studios-school-of-applied-recording-arts-sciences","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","480693","Columbia Institute",2018,"2018",67,"columbia-institute","Montgomery County, MD","05000US24031","montgomery-county-md"
2,"Private not-for-profit, 4-year or above","162210","Washington Adventist University",2017,"2017",226,"washington-adventist-university","Montgomery County, MD","05000US24031","montgomery-county-md"
2,"Private not-for-profit, 4-year or above","434937","Yeshiva College of the Nations Capital",2017,"2017",10,"yeshiva-college-of-the-nations-capital","Montgomery County, MD","05000US24031","montgomery-county-md"
4,"Public, 2-year","163426","Montgomery College",2017,"2017",2823,"montgomery-college","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","161651","Aesthetics Institute of Cosmetology",2017,"2017",32,"aesthetics-institute-of-cosmetology","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","162982","L'Academie de Cuisine",2017,"2017",60,"lacademie-de-cuisine","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","163408","Montgomery Beauty School",2017,"2017",72,"montgomery-beauty-school","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","447971","Hair Expressions Academy",2017,"2017",44,"hair-expressions-academy","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","455026","Omega Studios' School of Applied Recording Arts & Sciences",2017,"2017",59,"omega-studios-school-of-applied-recording-arts-sciences","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","480693","Columbia Institute",2017,"2017",53,"columbia-institute","Montgomery County, MD","05000US24031","montgomery-county-md"
2,"Private not-for-profit, 4-year or above","162210","Washington Adventist University",2016,"2016",287,"washington-adventist-university","Montgomery County, MD","05000US24031","montgomery-county-md"
2,"Private not-for-profit, 4-year or above","434937","Yeshiva College of the Nations Capital",2016,"2016",1,"yeshiva-college-of-the-nations-capital","Montgomery County, MD","05000US24031","montgomery-county-md"
4,"Public, 2-year","163426","Montgomery College",2016,"2016",2841,"montgomery-college","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","161651","Aesthetics Institute of Cosmetology",2016,"2016",27,"aesthetics-institute-of-cosmetology","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","162982","L'Academie de Cuisine",2016,"2016",91,"lacademie-de-cuisine","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","163408","Montgomery Beauty School",2016,"2016",67,"montgomery-beauty-school","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","447971","Hair Expressions Academy",2016,"2016",22,"hair-expressions-academy","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","455026","Omega Studios' School of Applied Recording Arts & Sciences",2016,"2016",79,"omega-studios-school-of-applied-recording-arts-sciences","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","480693","Columbia Institute",2016,"2016",36,"columbia-institute","Montgomery County, MD","05000US24031","montgomery-county-md"
2,"Private not-for-profit, 4-year or above","162210","Washington Adventist University",2015,"2015",298,"washington-adventist-university","Montgomery County, MD","05000US24031","montgomery-county-md"
2,"Private not-for-profit, 4-year or above","434937","Yeshiva College of the Nations Capital",2015,"2015",0,"yeshiva-college-of-the-nations-capital","Montgomery County, MD","05000US24031","montgomery-county-md"
4,"Public, 2-year","163426","Montgomery College",2015,"2015",2979,"montgomery-college","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","161651","Aesthetics Institute of Cosmetology",2015,"2015",28,"aesthetics-institute-of-cosmetology","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","162982","L'Academie de Cuisine",2015,"2015",93,"lacademie-de-cuisine","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","163408","Montgomery Beauty School",2015,"2015",56,"montgomery-beauty-school","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","447971","Hair Expressions Academy",2015,"2015",35,"hair-expressions-academy","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","455026","Omega Studios' School of Applied Recording Arts & Sciences",2015,"2015",55,"omega-studios-school-of-applied-recording-arts-sciences","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","480693","Columbia Institute",2015,"2015",37,"columbia-institute","Montgomery County, MD","05000US24031","montgomery-county-md"
2,"Private not-for-profit, 4-year or above","162210","Washington Adventist University",2014,"2014",375,"washington-adventist-university","Montgomery County, MD","05000US24031","montgomery-county-md"
2,"Private not-for-profit, 4-year or above","434937","Yeshiva College of the Nations Capital",2014,"2014",2,"yeshiva-college-of-the-nations-capital","Montgomery County, MD","05000US24031","montgomery-county-md"
4,"Public, 2-year","163426","Montgomery College",2014,"2014",2714,"montgomery-college","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","161651","Aesthetics Institute of Cosmetology",2014,"2014",28,"aesthetics-institute-of-cosmetology","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","162982","L'Academie de Cuisine",2014,"2014",85,"lacademie-de-cuisine","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","163408","Montgomery Beauty School",2014,"2014",67,"montgomery-beauty-school","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","447971","Hair Expressions Academy",2014,"2014",45,"hair-expressions-academy","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","455026","Omega Studios' School of Applied Recording Arts & Sciences",2014,"2014",60,"omega-studios-school-of-applied-recording-arts-sciences","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","480693","Columbia Institute",2014,"2014",33,"columbia-institute","Montgomery County, MD","05000US24031","montgomery-county-md"
2,"Private not-for-profit, 4-year or above","162210","Washington Adventist University",2013,"2013",398,"washington-adventist-university","Montgomery County, MD","05000US24031","montgomery-county-md"
2,"Private not-for-profit, 4-year or above","434937","Yeshiva College of the Nations Capital",2013,"2013",9,"yeshiva-college-of-the-nations-capital","Montgomery County, MD","05000US24031","montgomery-county-md"
4,"Public, 2-year","163426","Montgomery College",2013,"2013",2677,"montgomery-college","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","161651","Aesthetics Institute of Cosmetology",2013,"2013",46,"aesthetics-institute-of-cosmetology","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","162982","L'Academie de Cuisine",2013,"2013",99,"lacademie-de-cuisine","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","163408","Montgomery Beauty School",2013,"2013",42,"montgomery-beauty-school","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","447971","Hair Expressions Academy",2013,"2013",119,"hair-expressions-academy","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","455026","Omega Studios' School of Applied Recording Arts & Sciences",2013,"2013",55,"omega-studios-school-of-applied-recording-arts-sciences","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","480693","Columbia Institute",2013,"2013",35,"columbia-institute","Montgomery County, MD","05000US24031","montgomery-county-md"
2,"Private not-for-profit, 4-year or above","162210","Washington Adventist University",2012,"2012",318,"washington-adventist-university","Montgomery County, MD","05000US24031","montgomery-county-md"
2,"Private not-for-profit, 4-year or above","434937","Yeshiva College of the Nations Capital",2012,"2012",6,"yeshiva-college-of-the-nations-capital","Montgomery County, MD","05000US24031","montgomery-county-md"
4,"Public, 2-year","163426","Montgomery College",2012,"2012",2735,"montgomery-college","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","161651","Aesthetics Institute of Cosmetology",2012,"2012",37,"aesthetics-institute-of-cosmetology","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","162982","L'Academie de Cuisine",2012,"2012",108,"lacademie-de-cuisine","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","163408","Montgomery Beauty School",2012,"2012",67,"montgomery-beauty-school","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","447971","Hair Expressions Academy",2012,"2012",125,"hair-expressions-academy","Montgomery County, MD","05000US24031","montgomery-county-md"
9,"Private for-profit, less-than 2-year","455026","Omega Studios' School of Applied Recording Arts & Sciences",2012,"2012",77,"omega-studios-school-of-applied-recording-arts-sciences","Montgomery County, MD","05000US24031","montgomery-county-md"
